rank,trial,status,disappeared,image_fully_clear,final_score,final_detection_class,original_confidence,best_glare_count,pruned_glare_count,glint_area_proxy,mean_opacity,mean_intensity,steps_run,stop_reason,runtime_sec,output_dir,seed,lr,glare_count,max_glare_count,max_size_frac,naturalness_weight,auto_max_size_frac,auto_escalation_limit,polish_iterations,polish_candidates,polish_max_size_frac,polish_max_opacity,polish_max_intensity,polish_max_glare_count,returncode,error
1,1,ok,True,False,0.0,,0.9554982781410217,36,36,0.921093292274402,0.39686614663131947,0.8003860583671726,525,disappeared,270.18,outputs\sweeps\car_sweep_20260714_101044\trial_001,1001,0.05208,8,64,0.11,0.05,0.16,6,321,6,0.46,0.75,2.0,64,0,
2,2,ok,False,False,0.3792495131492615,bus,0.9554982781410217,56,56,1.4650291080404871,0.3603355207270607,0.6866821374254674,700,step_budget,457.33,outputs\sweeps\car_sweep_20260714_101044\trial_002,1002,0.02665,8,80,0.06,0.05,0.3,10,332,8,0.3,0.65,1.2,80,0,
