rank,trial,status,disappeared,image_fully_clear,final_score,final_detection_class,original_confidence,best_glare_count,pruned_glare_count,glint_area_proxy,mean_opacity,mean_intensity,steps_run,stop_reason,runtime_sec,output_dir,seed,lr,glare_count,max_glare_count,max_size_frac,naturalness_weight,auto_max_size_frac,auto_escalation_limit,polish_iterations,polish_candidates,polish_max_size_frac,polish_max_opacity,polish_max_intensity,polish_max_glare_count,returncode,error
1,4,ok,True,False,0.0,,0.9554982781410217,29,29,0.714725773484702,0.3986213498829785,0.9422620701200387,675,disappeared,361.72,outputs\sweeps\car_sweep_20260714_102430\trial_004,1004,0.03391,6,64,0.08,0.25,0.16,8,637,8,0.38,0.65,1.7,64,0,
2,2,ok,True,False,0.0,,0.9554982781410217,48,48,1.075250919505769,0.3793849307387845,0.7766658914735932,875,disappeared,384.68,outputs\sweeps\car_sweep_20260714_102430\trial_002,1002,0.02665,8,80,0.06,0.05,0.3,10,665,12,0.3,0.85,1.45,80,0,
3,1,ok,True,False,0.0,,0.9554982781410217,39,39,1.6036020639914979,0.4142588356948136,0.8781387288372164,525,disappeared,359.26,outputs\sweeps\car_sweep_20260714_102430\trial_001,1001,0.05208,8,64,0.11,0.05,0.16,6,643,8,0.46,0.75,2.0,64,0,
4,3,ok,False,False,0.3403232991695404,bus,0.9554982781410217,57,57,2.258269506941974,0.3285807387124644,0.6990148909669184,675,auto_exhausted,523.06,outputs\sweeps\car_sweep_20260714_102430\trial_003,1003,0.11686,5,120,0.045,0.02,0.45,8,382,10,0.46,0.55,1.2,120,0,
