target_index,step,new_glare_count,best_loss,best_attack_score,reason,actual_detection_score,actual_detection_class,escalation_index,glare_count_before,glare_count_after,max_size_frac_before,max_size_frac_after,naturalness_weight_before,naturalness_weight_after,lr_before,lr_after,glare_count,teleported_glint,teleport_candidates,teleport_steps,best_attack_score_before,best_attack_score_after,best_loss_before,best_loss_after
0,80,7,0.929478108882904,0.8761483430862427,plateau,,,,,,,,,,,,,,,,,,,
0,150,,,,auto_escalate,0.87669438123703,person,1,7,9,0.05,0.0625,0.3,0.165,0.03,0.034499999999999996,,,,,,,,
0,230,,,,teleport,,,,,,,,,,,,9,6,8,20,0.871870219707489,0.8686418533325195,0.9074200391769409,0.9059889316558838
0,300,,,,auto_escalate,0.8658434152603149,person,2,9,11,0.0625,0.078125,0.165,0.09075000000000001,0.034499999999999996,0.039674999999999995,,,,,,,,
0,380,12,0.8790709972381592,0.8496541976928711,plateau,,,,,,,,,,,,,,,,,,,
0,460,13,0.8758534789085388,0.8438543081283569,plateau,,,,,,,,,,,,,,,,,,,
0,500,,,,auto_escalate,0.8460845947265625,person,3,13,15,0.078125,0.09765625,0.09075000000000001,0.04991250000000001,0.039674999999999995,0.04562624999999999,,,,,,,,
0,676,16,0.812511682510376,0.7709953188896179,plateau,,,,,,,,,,,,,,,,,,,
0,777,,,,teleport,,,,,,,,,,,,16,8,8,20,0.7525575160980225,0.7477096319198608,0.7944884300231934,0.7927320003509521
0,884,17,0.7817215323448181,0.7384287118911743,plateau,,,,,,,,,,,,,,,,,,,
0,900,,,,auto_escalate,0.745398998260498,person,4,17,19,0.09765625,0.1220703125,0.04991250000000001,0.027451875000000008,0.04562624999999999,0.05247018749999999,,,,,,,,
0,1073,20,0.7208853960037231,0.6741443276405334,plateau,,,,,,,,,,,,,,,,,,,
0,1275,21,0.6974378824234009,0.6497979164123535,plateau,,,,,,,,,,,,,,,,,,,
0,1355,22,0.6974378824234009,0.6497979164123535,plateau,,,,,,,,,,,,,,,,,,,
0,1400,,,,auto_escalate,0.655685305595398,person,5,22,24,0.1220703125,0.152587890625,0.027451875000000008,0.015098531250000005,0.05247018749999999,0.06034071562499998,,,,,,,,
0,1633,,,,teleport,,,,,,,,,,,,24,22,8,20,0.5306951403617859,0.5262260437011719,0.565121591091156,0.5619404911994934
0,1773,25,0.4628964960575104,0.41335052251815796,plateau,,,,,,,,,,,,,,,,,,,
0,1850,,,,auto_escalate,0.4266282916069031,person,6,25,27,0.152587890625,0.19073486328125,0.015098531250000005,0.008304192187500004,0.06034071562499998,0.06939182296874997,,,,,,,,
0,1931,28,0.4176176190376282,0.37959012389183044,plateau,,,,,,,,,,,,,,,,,,,
0,2203,29,0.35794010758399963,0.3017871379852295,plateau,,,,,,,,,,,,,,,,,,,
0,2353,30,0.3407115638256073,0.28231510519981384,plateau,,,,,,,,,,,,,,,,,,,
0,2400,,,,auto_escalate,0.32765382528305054,person,7,30,32,0.19073486328125,0.2384185791015625,0.008304192187500004,0.0045673057031250025,0.06939182296874997,0.07980059641406247,,,,,,,,
0,2480,33,0.3407115638256073,0.28231510519981384,plateau,,,,,,,,,,,,,,,,,,,
0,2550,,,,auto_escalate,0.35858938097953796,person,8,33,35,0.2384185791015625,0.2980232238769531,0.0045673057031250025,0.0025120181367187517,0.07980059641406247,0.09177068587617183,,,,,,,,
0,2630,36,0.3407115638256073,0.28231510519981384,plateau,,,,,,,,,,,,,,,,,,,
0,2849,37,0.29744139313697815,0.24560455977916718,plateau,,,,,,,,,,,,,,,,,,,
