target_index,target_class,step,loss,raw_score,naturalness,relevant_predictions,glare_count,actual_detection_score,actual_detection_class,auto_escalated,auto_escalation_index
0,person,0,0.9380934238433838,0.8767850995063782,0.1613316833972931,6265,6,0.8777062296867371,person,,
0,person,1,0.9371057152748108,0.8764963150024414,0.15941442549228668,6265,6,,,,
0,person,2,0.9363752007484436,0.8762728571891785,0.15788209438323975,6265,6,,,,
0,person,3,0.9359116554260254,0.8763886094093323,0.15621672570705414,6265,6,,,,
0,person,4,0.9354551434516907,0.8765183091163635,0.15448345243930817,6264,6,,,,
0,person,5,0.9349014163017273,0.8765228986740112,0.15267400443553925,6265,6,,,,
0,person,6,0.9342361688613892,0.8764597773551941,0.1506643295288086,6266,6,,,,
0,person,7,0.9336851239204407,0.8764570355415344,0.14890220761299133,6266,6,,,,
0,person,8,0.9331430792808533,0.8764113187789917,0.14749625325202942,6266,6,,,,
0,person,9,0.9325006604194641,0.8763622641563416,0.14562273025512695,6266,6,,,,
0,person,10,0.931879997253418,0.8763216137886047,0.14355827867984772,6266,6,,,,
0,person,11,0.9312117099761963,0.8761937618255615,0.14203590154647827,6266,6,,,,
0,person,12,0.9306748509407043,0.8761597275733948,0.14032533764839172,6267,6,,,,
0,person,13,0.9300937056541443,0.8761981725692749,0.13832952082157135,6266,6,,,,
0,person,14,0.929478108882904,0.8761483430862427,0.1364717334508896,6267,6,,,,
0,person,15,0.9290287494659424,0.8761603236198425,0.1348966658115387,6267,6,,,,
0,person,16,0.9286302328109741,0.8762749433517456,0.13311561942100525,6267,6,,,,
0,person,17,0.9280665516853333,0.8763075470924377,0.1312461942434311,6267,6,,,,
0,person,18,0.9275786876678467,0.8762736320495605,0.12959787249565125,6267,6,,,,
0,person,19,0.9270773530006409,0.87629634141922,0.1278359442949295,6267,6,,,,
0,person,20,0.9266782999038696,0.8762604594230652,0.1267048567533493,6266,6,,,,
0,person,21,0.9263713955879211,0.8762819170951843,0.1254398375749588,6266,6,,,,
0,person,22,0.925925076007843,0.8762643933296204,0.12412677705287933,6266,6,,,,
0,person,23,0.9254820942878723,0.8762972950935364,0.12244585901498795,6267,6,,,,
0,person,24,0.9251846671104431,0.8764486312866211,0.1210361197590828,6267,6,,,,
0,person,25,0.9251970052719116,0.876369297504425,0.12130609154701233,6267,6,,,,
0,person,26,0.9248707294464111,0.8763886094093323,0.12021680176258087,6267,6,,,,
0,person,27,0.9244655966758728,0.8763290643692017,0.11905031651258469,6267,6,,,,
0,person,28,0.924005925655365,0.8763274550437927,0.11750208586454391,6267,6,,,,
0,person,29,0.9236068725585938,0.8763710856437683,0.11588574945926666,6267,6,,,,
0,person,30,0.9233224391937256,0.8763344287872314,0.1149805411696434,6267,6,,,,
0,person,31,0.9229007959365845,0.8763308525085449,0.1136147752404213,6267,6,,,,
0,person,32,0.9225817918777466,0.8762920498847961,0.11256580799818039,6267,6,,,,
0,person,33,0.9223436117172241,0.8764481544494629,0.11136063933372498,6267,6,,,,
0,person,34,0.9218953847885132,0.8763269186019897,0.11014820635318756,6265,6,,,,
0,person,35,0.9218859672546387,0.8764918446540833,0.10950224101543427,6266,6,,,,
0,person,36,0.9214645624160767,0.8763900399208069,0.10839297622442245,6265,6,,,,
0,person,37,0.9212406277656555,0.8765305876731873,0.10731324553489685,6265,6,,,,
0,person,38,0.9207929372787476,0.8764528036117554,0.10595882683992386,6266,6,,,,
0,person,39,0.92060387134552,0.8765683174133301,0.10500042140483856,6265,6,,,,
0,person,40,0.9201782941818237,0.8765528202056885,0.10362271219491959,6266,6,,,,
0,person,41,0.9198589324951172,0.8764840364456177,0.1027636006474495,6266,6,,,,
0,person,42,0.9195685386657715,0.8765509128570557,0.10167786478996277,6266,6,,,,
0,person,43,0.9193865060806274,0.8766528964042664,0.10075868666172028,6266,6,,,,
0,person,44,0.9190598130226135,0.8766534924507141,0.09967410564422607,6266,6,,,,
0,person,45,0.9188125729560852,0.8765988945960999,0.0988670140504837,6266,6,,,,
0,person,46,0.9184803366661072,0.8766111135482788,0.0979117751121521,6266,6,,,,
0,person,47,0.9182804822921753,0.8766785860061646,0.09699519723653793,6266,6,,,,
0,person,48,0.9178950190544128,0.87666255235672,0.0958620086312294,6266,6,,,,
0,person,49,0.9175978899002075,0.8766199946403503,0.09506186097860336,6266,6,,,,
0,person,50,0.9173616170883179,0.8766852021217346,0.09405729919672012,6266,6,0.8773043751716614,person,,
0,person,51,0.9170651435852051,0.8767708539962769,0.09303955733776093,6267,6,,,,
0,person,52,0.9167817234992981,0.876746416091919,0.09217745065689087,6267,6,,,,
0,person,53,0.9164361953735352,0.8767597675323486,0.09101636707782745,6267,6,,,,
0,person,54,0.916260302066803,0.8768441081047058,0.0901656374335289,6267,6,,,,
0,person,55,0.9158536195755005,0.8766797184944153,0.08923771232366562,6267,6,,,,
0,person,56,0.9156880378723145,0.8767353296279907,0.08862714469432831,6267,6,,,,
0,person,57,0.9153748154640198,0.8767097592353821,0.08758728951215744,6267,6,,,,
0,person,58,0.9152492880821228,0.8767920732498169,0.08688557893037796,6267,6,,,,
0,person,59,0.9148058891296387,0.8766615986824036,0.08591093868017197,6267,6,,,,
0,person,60,0.9147221446037292,0.8768229484558105,0.08514781296253204,6267,6,,,,
0,person,61,0.9143866896629333,0.8767397999763489,0.08425886929035187,6267,6,,,,
0,person,62,0.9141373634338379,0.8767448663711548,0.08346637338399887,6267,6,,,,
0,person,63,0.9139918088912964,0.8767766356468201,0.08275409787893295,6267,6,,,,
0,person,64,0.9136971235275269,0.8768076300621033,0.08173947036266327,6267,6,,,,
0,person,65,0.9134303331375122,0.8768025636672974,0.08092546463012695,6267,6,,,,
0,person,66,0.9132142663002014,0.8767385482788086,0.08019806444644928,6267,6,,,,
0,person,67,0.9129698872566223,0.8767022490501404,0.07956469804048538,6267,6,,,,
0,person,68,0.9127390384674072,0.8767145276069641,0.07876747101545334,6267,6,,,,
0,person,69,0.9125627279281616,0.876692533493042,0.0780172124505043,6267,6,,,,
0,person,70,0.9122399091720581,0.8766793608665466,0.07706378400325775,6267,6,,,,
0,person,71,0.9119513034820557,0.876657247543335,0.0762559175491333,6267,6,,,,
0,person,72,0.9118077754974365,0.876696765422821,0.07569465786218643,6267,6,,,,
0,person,73,0.9114929437637329,0.8766227960586548,0.07484991103410721,6266,6,,,,
0,person,74,0.9114526510238647,0.8766263723373413,0.07463496178388596,6266,6,,,,
0,person,75,0.9112877249717712,0.876660943031311,0.07401438802480698,6267,6,,,,
0,person,76,0.911076009273529,0.876621425151825,0.07331597805023193,6267,6,,,,
0,person,77,0.9109729528427124,0.8768340349197388,0.07235566526651382,6266,6,,,,
0,person,78,0.9106472134590149,0.8767706751823425,0.07148230820894241,6267,6,,,,
0,person,79,0.9104487299919128,0.8767237663269043,0.07093596458435059,6267,6,,,,
0,person,80,0.9102137088775635,0.8767192959785461,0.07027062028646469,6267,6,,,,
0,person,81,0.9420222043991089,0.8768808841705322,0.17577406764030457,6267,7,,,,
0,person,82,0.9415159225463867,0.8768168687820435,0.17431440949440002,6266,7,,,,
0,person,83,0.9408258199691772,0.8765860199928284,0.17276111245155334,6267,7,,,,
0,person,84,0.9402918219566345,0.8764727115631104,0.1712624430656433,6266,7,,,,
0,person,85,0.9397733211517334,0.87633216381073,0.16986031830310822,6265,7,,,,
0,person,86,0.9392679929733276,0.8763195872306824,0.1681504249572754,6267,7,,,,
0,person,87,0.9388684034347534,0.8763540387153625,0.16666963696479797,6266,7,,,,
0,person,88,0.9384059309959412,0.8763477206230164,0.16511447727680206,6266,7,,,,
0,person,89,0.9379015564918518,0.8763642907142639,0.16346237063407898,6267,7,,,,
0,person,90,0.93741774559021,0.8763176202774048,0.1619725376367569,6266,7,,,,
0,person,91,0.936773419380188,0.8762272596359253,0.16017009317874908,6266,7,,,,
0,person,92,0.936332106590271,0.876312255859375,0.15863844752311707,6266,7,,,,
0,person,93,0.9358606338500977,0.8762810826301575,0.15704891085624695,6266,7,,,,
0,person,94,0.9352879524230957,0.8762776851654053,0.15525978803634644,6266,7,,,,
0,person,95,0.9347053170204163,0.87616366147995,0.15366271138191223,6266,7,,,,
0,person,96,0.934237003326416,0.8761030435562134,0.1520620882511139,6266,7,,,,
0,person,97,0.9336771965026855,0.8760918974876404,0.15020419657230377,6266,7,,,,
0,person,98,0.9331977963447571,0.8760585784912109,0.14873936772346497,6266,7,,,,
0,person,99,0.9325482249259949,0.8758816719055176,0.14701294898986816,6266,7,,,,
0,person,100,0.9320321083068848,0.8759576678276062,0.1451754868030548,6266,7,0.8766853213310242,person,,
0,person,101,0.9314569234848022,0.8759387731552124,0.14341560006141663,6266,7,,,,
0,person,102,0.9308987259864807,0.8758766651153564,0.1418062001466751,6266,7,,,,
0,person,103,0.9303282499313354,0.8758664131164551,0.13996849954128265,6266,7,,,,
0,person,104,0.929878830909729,0.8759138584136963,0.13833452761173248,6266,7,,,,
0,person,105,0.9293741583824158,0.8759278059005737,0.13647614419460297,6266,7,,,,
0,person,106,0.9287716746330261,0.8758667707443237,0.13474127650260925,6266,7,,,,
0,person,107,0.928257405757904,0.8758742809295654,0.1329590231180191,6266,7,,,,
0,person,108,0.9278026223182678,0.8759427666664124,0.1312718540430069,6266,7,,,,
0,person,109,0.9271119236946106,0.8757964372634888,0.12936438620090485,6266,7,,,,
0,person,110,0.9266039729118347,0.8758182525634766,0.12772239744663239,6266,7,,,,
0,person,111,0.9260948896408081,0.8758470416069031,0.12590838968753815,6266,7,,,,
0,person,112,0.9255709648132324,0.8757694959640503,0.12422511726617813,6266,7,,,,
0,person,113,0.9248895645141602,0.8756143450737,0.12233380973339081,6266,7,,,,
0,person,114,0.9252932071685791,0.8756077885627747,0.12370476126670837,6266,7,,,,
0,person,115,0.9251360893249512,0.8757534027099609,0.12282653898000717,6266,7,,,,
0,person,116,0.9246792197227478,0.8757866024971008,0.12138082832098007,6266,7,,,,
0,person,117,0.9242780208587646,0.8758013844490051,0.11995227634906769,6266,7,,,,
0,person,118,0.923603892326355,0.8757164478302002,0.11799488961696625,6266,7,,,,
0,person,119,0.9231404662132263,0.8758083581924438,0.11611071228981018,6266,7,,,,
0,person,120,0.9226348400115967,0.8758643269538879,0.11416547745466232,6266,7,,,,
0,person,121,0.9229632616043091,0.8758407235145569,0.1153922975063324,6266,7,,,,
0,person,122,0.9227049350738525,0.8758321404457092,0.11442232131958008,6266,7,,,,
0,person,123,0.9223459362983704,0.8759892582893372,0.11280262470245361,6266,7,,,,
0,person,124,0.9217705726623535,0.8759886026382446,0.11101983487606049,6266,7,,,,
0,person,125,0.9210790395736694,0.8758125305175781,0.10910099744796753,6266,7,,,,
0,person,126,0.920836865901947,0.875809371471405,0.10833141952753067,6266,7,,,,
0,person,127,0.9205967783927917,0.8757294416427612,0.10779346525669098,6266,7,,,,
0,person,128,0.9203760027885437,0.8757469058036804,0.10694923996925354,6266,7,,,,
0,person,129,0.9200940132141113,0.8758056163787842,0.10585849732160568,6266,7,,,,
0,person,130,0.9199497699737549,0.875880241394043,0.10519879311323166,6266,7,,,,
0,person,131,0.919613242149353,0.8758235573768616,0.10403189063072205,6266,7,,,,
0,person,132,0.9193384051322937,0.8759134411811829,0.10298343747854233,6266,7,,,,
0,person,133,0.9191247820854187,0.8759070038795471,0.10202361643314362,6265,7,,,,
0,person,134,0.9188122153282166,0.8759594559669495,0.10090135782957077,6265,7,,,,
0,person,135,0.9184112548828125,0.8758508563041687,0.09983564168214798,6265,7,,,,
0,person,136,0.9181283116340637,0.8759351968765259,0.09860815852880478,6265,7,,,,
0,person,137,0.9177253246307373,0.8758634924888611,0.09741519391536713,6265,7,,,,
0,person,138,0.9174292087554932,0.875993013381958,0.0961030051112175,6265,7,,,,
0,person,139,0.9172877073287964,0.8759146332740784,0.09567825496196747,6265,7,,,,
0,person,140,0.9170573949813843,0.875916600227356,0.09496618807315826,6265,7,,,,
0,person,141,0.9167511463165283,0.875895619392395,0.09403762966394424,6265,7,,,,
0,person,142,0.9163900017738342,0.87587970495224,0.09294922649860382,6265,7,,,,
0,person,143,0.9162015318870544,0.8760289549827576,0.09206835180521011,6266,7,,,,
0,person,144,0.9160870313644409,0.8760705590248108,0.09166401624679565,6266,7,,,,
0,person,145,0.9157878160476685,0.8760084509849548,0.090794637799263,6266,7,,,,
0,person,146,0.915558934211731,0.876113772392273,0.08980699628591537,6266,7,,,,
0,person,147,0.9151893854141235,0.8761731386184692,0.0884656086564064,6266,7,,,,
0,person,148,0.9147995114326477,0.8760057091712952,0.08754376322031021,6266,7,,,,
0,person,149,0.9145198464393616,0.8759357333183289,0.0867910236120224,6266,7,,,,
0,person,150,0.9143006801605225,0.8759259581565857,0.0860697403550148,6266,9,0.87669438123703,person,True,1
0,person,151,0.9255266189575195,0.8756797909736633,0.22446778416633606,6265,9,,,,
0,person,152,0.9254607558250427,0.8758573532104492,0.22335340082645416,6267,9,,,,
0,person,153,0.9250044822692871,0.875646710395813,0.2225811779499054,6267,9,,,,
0,person,154,0.9249628782272339,0.8757501244544983,0.22189824283123016,6267,9,,,,
0,person,155,0.9248515963554382,0.8758164048194885,0.22112557291984558,6266,9,,,,
0,person,156,0.9247317314147949,0.8758472800254822,0.22015854716300964,6266,9,,,,
0,person,157,0.9246781468391418,0.875866711139679,0.21957257390022278,6265,9,,,,
0,person,158,0.9244330525398254,0.8757618069648743,0.21875466406345367,6266,9,,,,
0,person,159,0.924284815788269,0.8758383393287659,0.21775956451892853,6266,9,,,,
0,person,160,0.9242107272148132,0.8759901523590088,0.21691203117370605,6265,9,,,,
0,person,161,0.9240256547927856,0.876025915145874,0.21586287021636963,6264,9,,,,
0,person,162,0.923680305480957,0.8758851885795593,0.21481505036354065,6264,9,,,,
0,person,163,0.9233501553535461,0.8757656812667847,0.21388380229473114,6264,9,,,,
0,person,164,0.9229597449302673,0.8755151033401489,0.21274062991142273,6264,9,,,,
